sex,name,births
F,Ava,618
F,Emma,607
F,Olivia,557
F,Charlotte,407
F,Harper,404
F,Abigail,395
F,Isabella,393
F,Sophia,382
F,Elizabeth,364
F,Madison,316
M,William,711
M,Noah,632
M,Mason,543
M,Liam,526
M,Elijah,519
M,James,477
M,Benjamin,424
M,Jackson,424
M,Michael,422
M,Grayson,414
