sex,name,births
F,Mary,2056
F,Annie,770
F,Margaret,726
F,Ruth,692
F,Ruby,544
F,Elizabeth,499
F,Helen,487
F,Mildred,427
F,Dorothy,397
F,Virginia,393
M,James,2083
M,William,1613
M,John,1373
M,Robert,874
M,George,617
M,Charles,539
M,Thomas,504
M,Willie,458
M,Joseph,396
M,Henry,382
