sex,name,births
F,Evelyn,333
F,Olivia,314
F,Emma,309
F,Charlotte,286
F,Harper,252
F,Ava,234
F,Grace,218
F,Amelia,217
F,Sophia,215
F,Nora,201
M,Henry,399
M,Oliver,367
M,William,325
M,Owen,292
M,Liam,276
M,Jack,271
M,Mason,263
M,James,254
M,Noah,248
M,Theodore,247
