sex,name,births
F,Helen,817
F,Mary,810
F,Dorothy,700
F,Margaret,676
F,Ruth,585
F,Evelyn,451
F,Florence,365
F,Mildred,352
F,Alice,347
F,Irene,305
M,John,915
M,Robert,721
M,William,556
M,George,525
M,Donald,455
M,Harold,428
M,James,385
M,Edward,346
M,Raymond,346
M,Joseph,323
